sample_accession	scientific_name
SAMN35024755	Campylobacter jejuni
SAMN14008137	Campylobacter jejuni
SAMN33591505	Campylobacter jejuni
SAMN06661365	Campylobacter jejuni
SAMEA5554584	Campylobacter jejuni
SAMN07571664	Campylobacter jejuni
SAMN42892633	Campylobacter coli
SAMEA114462082	Campylobacter coli
SAMN15959269	Campylobacter coli
SAMN40477490	Campylobacter coli
SAMN06661054	Campylobacter coli
SAMN06276455	Campylobacter coli
SAMN28178834	Escherichia coli
SAMN05806162	Escherichia coli
SAMN18191046	Escherichia coli
SAMEA8701462	Escherichia coli
SAMN03793100	Escherichia coli
SAMEA104437728	Escherichia coli
SAMEA112825047	Escherichia coli
SAMN15488496	Escherichia coli
SAMEA4821744	Escherichia coli
SAMN14278988	Escherichia coli
SAMEA6162775	Escherichia coli
SAMN14444170	Escherichia coli
SAMEA115290367	Brucella abortus
SAMN38811878	Brucella abortus
SAMN12996968	Brucella abortus
SAMN02841005	Brucella abortus
SAMN10716007	Brucella abortus
SAMN02841043	Brucella abortus
SAMEA110232136	Brucella melitensis
SAMEA111482370	Brucella melitensis
SAMN14469211	Brucella melitensis
SAMN12273721	Brucella melitensis
SAMEA110232152	Brucella melitensis
SAMEA117373982	Brucella melitensis
